X,Y,OGF_ID,MOH_SERVICE_PROVIDER_IDENT,SERVICE_TYPE,SERVICE_TYPE_DETAIL,ENGLISH_NAME,FRENCH_NAME,ENGLISH_NAME_ALT,FRENCH_NAME_ALT,ADDRESS_LINE_1,ADDRESS_LINE_2,ADDRESS_DESCRIPTOR,COMMUNITY,POSTAL_CODE,GEOMETRY_UPDATE_DATETIME,EFFECTIVE_DATETIME,SYSTEM_DATETIME,OBJECTID
-79.3772002817503,43.6499902847855,127907996,10000000010,AIDS Bureau,CBAESP,Black Coalition for AIDS Prevention,,,,20 Victoria Street,4th Floor,Practice Location,Toronto,M5C2N8,1970/01/01 00:00:00+00,2020/04/03 20:42:44+00,2020/04/03 20:42:44+00,753621
-80.2744087226865,43.1518357550274,127907997,10000000011,AIDS Bureau,AT site,Brant County Health Unit,,,,194 Terrace Hill Street,,Practice Location,Brantford,N3R1G7,1970/01/01 00:00:00+00,2020/04/03 20:42:44+00,2020/04/03 20:42:44+00,753622
-75.6968542375547,45.4163072540392,127907998,10000000012,AIDS Bureau,CBAESP,Bruce House,,,,251 Bank Street,Suite 402,Practice Location,Ottawa,K2P1X3,1970/01/01 00:00:00+00,2020/04/03 20:42:44+00,2020/04/03 20:42:44+00,753623
-79.4023121894411,43.6463653829847,127907999,10000000013,AIDS Bureau,"CBAESP, HCV Team",Canadian AIDS Treatment Information Exchange,,,,555 Richmond Street West,"Suite 505, Postal Office Box 1104",Practice Location,Toronto,M5V3B1,1970/01/01 00:00:00+00,2020/04/03 20:42:44+00,2020/04/03 20:42:44+00,753624
-75.7334211468748,45.3833177468637,127908000,10000000014,AIDS Bureau,AT site,Carlington Community and Health Services,,,,900 Merivale Road,2nd floor,Practice Location,Ottawa,K1Z5Z8,1970/01/01 00:00:00+00,2020/04/03 20:42:44+00,2020/04/03 20:42:44+00,753625
-79.3789102839524,43.6688282880143,127908001,10000000015,AIDS Bureau,CBAESP,Casey House,,,,119 Isabella Street,,Practice Location,Toronto,M4Y1P2,1970/01/01 00:00:00+00,2020/04/03 20:42:44+00,2020/04/03 20:42:44+00,753626
-79.4042271900715,43.6465887829351,127908002,10000000016,AIDS Bureau,AT site,Central Toronto Community Health Centres,,,,168 Bathurst Street,,Practice Location,Toronto,M5V2R4,1970/01/01 00:00:00+00,2020/04/03 20:42:44+00,2020/04/03 20:42:44+00,753627
-79.3764054826104,43.6626573870469,127908003,10000000017,AIDS Bureau,CBAESP,Centre for Spanish-Speaking Peoples,,,,120 Carlton Street,Suite 201,Practice Location,Toronto,M5A4K3,1970/01/01 00:00:00+00,2020/04/03 20:42:44+00,2020/04/03 20:42:44+00,753628
-79.4023121894411,43.6463653829847,127908004,10000000018,AIDS Bureau,"CBAESP, AT Site",Centre francophone de Toronto,,,,555 Richmond Street West,Postal Office Box 600,Practice Location,Toronto,M5V3B1,1970/01/01 00:00:00+00,2020/04/03 20:42:44+00,2020/04/03 20:42:44+00,753629
-75.6977578377825,45.4154622538568,127908005,10000000019,AIDS Bureau,AT site,Centretown Community Health Centre,,,,420 Cooper Street,,Practice Location,Ottawa,K2P2N6,1970/01/01 00:00:00+00,2020/04/03 20:42:44+00,2020/04/03 20:42:44+00,753630
-82.1751872509408,42.4064579314368,127908006,10000000020,AIDS Bureau,AT site,Chatham-Kent Public Health Unit,,,,177 King Street East,Suite 2,Practice Location,Chatham-Kent,N7M3N1,1970/01/01 00:00:00+00,2020/04/03 20:42:44+00,2020/04/03 20:42:44+00,753631
-75.6512818211379,45.4009104533271,127908007,10000000021,AIDS Bureau,HIV Outpatient Clinic,"Children's Hospital of Eastern Ontario, Division of Infectious Diseases, Room 3002",,,,401 Smyth Road,,Practice Location,Ottawa,K1W1C2,1970/01/01 00:00:00+00,2020/04/03 20:42:44+00,2020/04/03 20:42:44+00,753632
-81.0225452250391,44.907142420632,127908008,10000000022,AIDS Bureau,CBAESP,Chippewas of Nawash First Nation,,,,135 Lakeshore Boulevard,Chippewas of Nawash Health Centre,Practice Location,Wiarton,N0H2T0,1970/01/01 00:00:00+00,2020/04/03 20:42:44+00,2020/04/03 20:42:44+00,753633
-79.8711186044265,43.2578581926884,127908009,10000000023,AIDS Bureau,"CBAESP, AT Site","City of Hamilton, Infectious Diseases Program",,,,110 King Street West,"4th Floor, Public Health",Practice Location,Hamilton,L8P4S6,1970/01/01 00:00:00+00,2020/04/03 20:42:44+00,2020/04/03 20:42:44+00,753634
-75.6900928365195,45.4305148567492,127908010,10000000024,AIDS Bureau,CBAESP,"City of Ottawa, Ottawa Public Health",,,,179 Clarence Street,,Practice Location,Ottawa,K1N5P7,1970/01/01 00:00:00+00,2020/04/03 20:42:44+00,2020/04/03 20:42:44+00,753635
-79.37937698302,43.6565356858342,127908011,10000000025,AIDS Bureau,CBAESP,"City of Toronto, Toronto Public Health",,,,277 Victoria Street,5th Floor,Practice Location,Toronto,M5B1W2,1970/01/01 00:00:00+00,2020/04/03 20:42:44+00,2020/04/03 20:42:44+00,753636
-78.8447872306822,43.8692774477726,127908012,10000000026,AIDS Bureau,HCV Team,Durham Community Health Centre (operating as Carea Community Health Centre),,,,115 Grassmere Avenue,,Practice Location,Oshawa,L1H3X7,1970/01/01 00:00:00+00,2020/04/03 20:42:44+00,2020/04/03 20:42:44+00,753637
-78.8789547434047,43.8894410497393,127908013,10000000027,AIDS Bureau,AT site,Durham Region Health Department,,,,419 King Street West,"Suite 180, Office Galleria",Practice Location,Oshawa,L1J2K5,1970/01/01 00:00:00+00,2020/04/03 20:42:44+00,2020/04/03 20:42:44+00,753638
-81.1508627651479,42.7777822470586,127908014,10000000028,AIDS Bureau,AT site,Elgin St. Thomas Public Health,,,,1230 Talbot Street,,Practice Location,Saint Thomas,N5P1G9,1970/01/01 00:00:00+00,2020/04/03 20:42:44+00,2020/04/03 20:42:44+00,753639
-79.4452632037716,43.6535657822557,127908015,10000000029,AIDS Bureau,CBAESP,Family Service Toronto,,,,128 Sterling Road,,Practice Location,Toronto,M6R2B7,1970/01/01 00:00:00+00,2020/04/03 20:42:44+00,2020/04/03 20:42:44+00,753640
-79.3750829826276,43.6676496879848,127908016,10000000030,AIDS Bureau,CBAESP,Fife House,,,,490 Sherbourne Street,2nd Floor,Practice Location,Toronto,M4X1K9,1970/01/01 00:00:00+00,2020/04/03 20:42:44+00,2020/04/03 20:42:44+00,753641
-79.3765113825015,43.6610350867572,127908017,10000000031,AIDS Bureau,CBAESP,Gay Men's Sexual Health Alliance c/o Ontario AIDS Network,,,,296 Jarvis Street,Unit  5,Practice Location,Toronto,M5B2C5,1970/01/01 00:00:00+00,2020/04/03 20:42:44+00,2020/04/03 20:42:44+00,753642
-79.6958124499247,44.3836560971784,127908018,10000000032,AIDS Bureau,CBAESP,Gilbert Centre for Social and Support Services,,,,80 Bradford Street,Suite 555,Practice Location,Barrie,L4N6S7,1970/01/01 00:00:00+00,2020/04/03 20:42:44+00,2020/04/03 20:42:44+00,753643
-79.3625223776093,43.6561510865476,127908019,10000000033,AIDS Bureau,CBAESP,Good Shepherd Refuge Social Ministries (Barrett House),,,,412 Queen Street East,,Practice Location,Toronto,M5A1T3,1970/01/01 00:00:00+00,2020/04/03 20:42:44+00,2020/04/03 20:42:44+00,753644
-84.3160692528407,46.52223670119,127908020,10000000034,AIDS Bureau,"CBAESP, HCV Team","Group Health Centre, Sault Ste. Marie and District",,,,240 McNabb Street,,Practice Location,Sault Ste. Marie,P6B1Y5,1970/01/01 00:00:00+00,2020/04/03 20:42:44+00,2020/04/03 20:42:44+00,753645
-79.7845793853948,43.3540441137272,127908021,10000000035,AIDS Bureau,AT site,Halton Region Health Department,,,,3350 Fairview Street,,Practice Location,Burlington,L7N3L5,1970/01/01 00:00:00+00,2020/04/03 20:42:44+00,2020/04/03 20:42:44+00,753646
-79.9174697192526,43.2594949908156,127908022,10000000036,AIDS Bureau,HIV Outpatient Clinic,"Hamilton Health Sciences, SIS Clinic",,,,1200 Main Street West,"Room 1S1, McMaster University Health Centre",Practice Location,Hamilton,L8N3Z5,1970/01/01 00:00:00+00,2020/04/03 20:42:44+00,2020/04/03 20:42:44+00,753647
-79.3788022831454,43.6600470864775,127908023,10000000037,AIDS Bureau,"CBAESP, AT Site",Hassle Free Clinic,,,,66 Gerrard Street East,Suite 200,Practice Location,Toronto,M5B1G3,1970/01/01 00:00:00+00,2020/04/03 20:42:44+00,2020/04/03 20:42:44+00,753648
-77.391694189216,44.1867039684509,127908024,10000000038,AIDS Bureau,AT site,Hastings & Prince Edward Counties Health Unit,,,,179 North Park Street,,Practice Location,Belleville,K8P4P1,1970/01/01 00:00:00+00,2020/04/03 20:42:44+00,2020/04/03 20:42:44+00,753649
-79.3741717820798,43.664727487514,127908025,10000000039,AIDS Bureau,HIV Outpatient Clinic,"Health Centre at 410, Family Health Team",,,,410 Sherbourne Street,4th Floor,Practice Location,Toronto,M4X1K2,1970/01/01 00:00:00+00,2020/04/03 20:42:44+00,2020/04/03 20:42:44+00,753650
-81.0082615851456,46.4736312772304,127908026,10000000040,AIDS Bureau,HIV Outpatient Clinic,"Health Sciences North, The HAVEN Program",,,,865 Regent Street South,,Practice Location,Sudbury,P3E3Y9,1970/01/01 00:00:00+00,2020/04/03 20:42:44+00,2020/04/03 20:42:44+00,753651
-79.4098847018384,43.7594615024649,127908027,10000000041,AIDS Bureau,CBAESP,Hemophilia Ontario,,,,4711 Yonge Street,"Suite 10100, 10th Floor",Practice Location,Toronto,M2N6K8,1970/01/01 00:00:00+00,2020/04/03 20:42:44+00,2020/04/03 20:42:44+00,753652
-79.3839516836174,43.6467317839002,127908028,10000000042,AIDS Bureau,CBAESP,HIV & AIDS Legal Clinic (Ontario),,,,55 University Avenue,Suite 1400,Practice Location,Toronto,M5J2H7,1970/01/01 00:00:00+00,2020/04/03 20:42:44+00,2020/04/03 20:42:44+00,753653
-76.5089283064426,44.2398491157932,127908029,10000000043,AIDS Bureau,CBAESP,HIV/AIDS Regional Services,,,,844 Princess Street,Unit A,Practice Location,Kingston,K7L1G5,1970/01/01 00:00:00+00,2020/04/03 20:42:44+00,2020/04/03 20:42:44+00,753654
-80.2689813563747,43.5499775253568,127908030,10000000044,AIDS Bureau,"CBAESP, HIV Outpaitient Clinic",HIV/AIDS Resources and Community Health,,,,77 Westmount Road,Unit 110,Practice Location,Guelph,N1H5J1,1970/01/01 00:00:00+00,2020/04/03 20:42:44+00,2020/04/03 20:42:44+00,753655
-79.3959793927483,43.7068417938918,127908031,10000000045,AIDS Bureau,CBAESP,Hospice Toronto,,,,55 Eglinton Avenue East,Suite 502,Practice Location,Toronto,M4P1G8,1970/01/01 00:00:00+00,2020/04/03 20:42:44+00,2020/04/03 20:42:44+00,753656
-76.4859203982007,44.2308559151846,127908032,10000000046,AIDS Bureau,HIV Outpatient Clinic,"Hotel Dieu Hospital, Infection & Immunology Clinic",,,,166 Brock Street,Jm3-045,Practice Location,Kingston,K7L5G2,1970/01/01 00:00:00+00,2020/04/03 20:42:44+00,2020/04/03 20:42:44+00,753657
-78.8668387403058,43.8984198518662,127908034,10000000048,AIDS Bureau,CBAESP,John Howard Society of Durham Region,,,,75 Richmond Street West,,Practice Location,Oshawa,L1G1E3,1970/01/01 00:00:00+00,2020/04/03 20:42:44+00,2020/04/03 20:42:44+00,753659
-76.4914328026122,44.2627539205628,127908035,10000000049,AIDS Bureau,"CBAESP, HCV Team",Kingston Community Health Centres,,,,263 Weller Avenue,,Practice Location,Kingston,K7K2V4,1970/01/01 00:00:00+00,2020/04/03 20:42:44+00,2020/04/03 20:42:44+00,753660
-76.5252108107721,44.2278735129962,127908036,10000000050,AIDS Bureau,AT site,"Kingston, Frontenac and Lennox & Addington Public Health Unit",,,,221 Portsmouth Avenue,,Practice Location,Kingston,K7M1V5,1970/01/01 00:00:00+00,2020/04/03 20:42:44+00,2020/04/03 20:42:44+00,753661
-78.9438950612128,43.8550886407451,127908037,10000000051,AIDS Bureau,CBAESP,Lakeridge Health,,,,300 Gordon Street,Positive Care Clinic,Practice Location,Whitby,L1N5T2,1970/01/01 00:00:00+00,2020/04/03 20:42:44+00,2020/04/03 20:42:44+00,753662
-78.8885956451453,43.8740199465971,127908038,10000000052,AIDS Bureau,"HCV Team, HIV Outpaitient Clinic","Lakeridge Health, Positive Care Clinic",,,,850 Champlain Avenue,Suite 1,Practice Location,Oshawa,L1J8R2,1970/01/01 00:00:00+00,2020/04/03 20:42:44+00,2020/04/03 20:42:44+00,753663
-79.3759017813647,43.6503157849029,127908039,10000000053,AIDS Bureau,CBAESP,LOFT Community Services,,,,15 Toronto Street,9th floor,Practice Location,Toronto,M5C2E3,1970/01/01 00:00:00+00,2020/04/03 20:42:44+00,2020/04/03 20:42:44+00,753664
-81.2297438086348,42.9890247806659,127908040,10000000054,AIDS Bureau,"CBAESP, HCV Team, AT Site",London Intercommunity Health Centre,,,,659 Dundas Street East,,Practice Location,London,N5W2Z1,1970/01/01 00:00:00+00,2020/04/03 20:42:44+00,2020/04/03 20:42:44+00,753665
-79.3640492780358,43.6554618863559,127908041,10000000055,AIDS Bureau,CBAESP,Maggie’s: Toronto Sex Workers Action Project,,,,351 Queen Street East,Postal Office Box 82527,Practice Location,Toronto,M5A1T2,1970/01/01 00:00:00+00,2020/04/03 20:42:44+00,2020/04/03 20:42:44+00,753666
-81.2540343155619,42.9814466781541,127908042,10000000056,AIDS Bureau,AT site,Middlesex-London Health Unit,,,,50 King Street,,Practice Location,London,N6A5L7,1970/01/01 00:00:00+00,2020/04/03 20:42:44+00,2020/04/03 20:42:44+00,753667
-79.3899927864931,43.6575220855153,127908044,10000000058,AIDS Bureau,HIV Outpatient Clinic,"Mount Sinai Hospital, Clinic for HIV-Related Concerns",,,,600 University Avenue,"Room 963, Dept. of Psychiatry",Practice Location,Toronto,M5G1X5,1970/01/01 00:00:00+00,2020/04/03 20:42:44+00,2020/04/03 20:42:44+00,753669
-79.2785004074276,43.1536630014963,127908045,10000000059,AIDS Bureau,HCV Team,Niagara Health System,,,,1200 Fourth Avenue,,Practice Location,St. Catharines,L2S0A9,1970/01/01 00:00:00+00,2020/04/03 20:42:44+00,2020/04/03 20:42:44+00,753670
-79.2321186940165,43.1692961063949,127908271,10000000060,AIDS Bureau,AT site,Niagara Region Public Health Department,,,,277 Welland Avenue,"Unit 4, St. Catharines Sexual Health Centre",Practice Location,St. Catharines,L2R2P7,1970/01/01 00:00:00+00,2020/04/03 20:42:44+00,2020/04/03 20:42:44+00,753671
-79.463297164167,46.3160283309537,127908272,10000000061,AIDS Bureau,AT site,North Bay Parry Sound District Health Unit,,,,681 Commercial Street,,Practice Location,North Bay,P1B4E7,1970/01/01 00:00:00+00,2020/04/03 20:42:44+00,2020/04/03 20:42:44+00,753672
-82.0024964598867,43.0963272616621,127908273,10000000062,AIDS Bureau,"CBAESP, HCV Team",North Lambton Community Health Centre,,,,59 King Street West,Suite 3,Practice Location,Lambton Shores,N0N1J0,1970/01/01 00:00:00+00,2020/04/03 20:42:44+00,2020/04/03 20:42:44+00,753673
-94.4899762954064,49.7677774389837,127908274,10000000063,AIDS Bureau,AT site,Northwestern Health Unit,,,,210 First Street South,,Practice Location,Kenora,P9N2K4,1970/01/01 00:00:00+00,2020/04/03 20:42:44+00,2020/04/03 20:42:44+00,753674
-79.3934082920281,43.7079783942105,127908275,10000000064,AIDS Bureau,CBAESP,Ontario Aboriginal HIV/AIDS Strategy,,,,164 Eglington Avenue East,Suite 301,Practice Location,Toronto,M4P1A6,1970/01/01 00:00:00+00,2020/04/03 20:42:44+00,2020/04/03 20:42:44+00,753675
-79.3765113825015,43.6610350867572,127908276,10000000065,AIDS Bureau,CBAESP,Ontario AIDS Network,,,,296 Jarvis Street,Unit 5,Practice Location,Toronto,M5A1T7,1970/01/01 00:00:00+00,2020/04/03 20:42:44+00,2020/04/03 20:42:44+00,753676
-79.3803729902203,43.734626599487,127908277,10000000066,AIDS Bureau,CBAESP,"Ontario Association of the Deaf, Deaf Outreach Project",,,,2395 Bayview Avenue,,Practice Location,Toronto,M2L1A2,1970/01/01 00:00:00+00,2020/04/03 20:42:44+00,2020/04/03 20:42:44+00,753677
-79.3750829826276,43.6676496879848,127908278,10000000067,AIDS Bureau,CBAESP,Ontario HIV & Substance Use Training Program,,,,490 Sherbourne Street,2nd Floor,Practice Location,Toronto,M4X1K9,1970/01/01 00:00:00+00,2020/04/03 20:42:44+00,2020/04/03 20:42:44+00,753678
-79.3927572897232,43.6841943900689,127908279,10000000068,AIDS Bureau,CBAESP,Ontario HIV Treatment Network,,,,1300 Yonge Street,Suite 600,Practice Location,Toronto,M4T1X3,1970/01/01 00:00:00+00,2020/04/03 20:42:44+00,2020/04/03 20:42:44+00,753679
-81.2483554139339,42.9831221787244,127908280,10000000069,AIDS Bureau,CBAESP,Ontario Organizational Development Program,,,,186 King Street,Unit 30,Practice Location,London,N6A1C7,1970/01/01 00:00:00+00,2020/04/03 20:42:44+00,2020/04/03 20:42:44+00,753680
-75.6968542375547,45.4163072540392,127908281,10000000070,AIDS Bureau,CBAESP,Ottawa Gay Men's Wellness Initiative (Operating as MAX Ottawa),,,,251 Bank Street,5th Floor,Practice Location,Ottawa,K2P1X3,1970/01/01 00:00:00+00,2020/04/03 20:42:44+00,2020/04/03 20:42:44+00,753681
-75.647625619952,45.4012239535343,127908282,10000000071,AIDS Bureau,"CBAESP, HIV Outpatient Clinic",Ottawa Hospital Research Institute Division of Infectious Diseases Ottawa Hospital General Campus,,,,501 Smyth Road,,Practice Location,Ottawa,K1H8L6,1970/01/01 00:00:00+00,2020/04/03 20:42:44+00,2020/04/03 20:42:44+00,753682
-75.6900928365195,45.4305148567492,127908283,10000000072,AIDS Bureau,AT site,Ottawa Public Health,,,,179 Clarence Street,,Practice Location,Ottawa,K1N5P7,1970/01/01 00:00:00+00,2020/04/03 20:42:44+00,2020/04/03 20:42:44+00,753683
-79.4294663977008,43.6418242809274,127908284,10000000073,AIDS Bureau,"CBAESP, AT site",Parkdale Community Health Centre,,,,1229 Queen Street West,,Practice Location,Toronto,M6K1L2,1970/01/01 00:00:00+00,2020/04/03 20:42:44+00,2020/04/03 20:42:44+00,753684
-79.727010593977,43.6586076699893,127908285,10000000074,AIDS Bureau,CBAESP,Peel HIV/AIDS Network,,,,7700 Hurontario Street,Unit 601,Practice Location,Brampton,L6Y4M3,1970/01/01 00:00:00+00,2020/04/03 20:42:44+00,2020/04/03 20:42:44+00,753685
-78.3203159998118,44.3017999471284,127908286,10000000075,AIDS Bureau,"CBAESP, HCV Team",Peterborough AIDS Resource Network,,,,159 King Street,Suite 302,Practice Location,Peterborough,K9J2R8,1970/01/01 00:00:00+00,2020/04/03 20:42:44+00,2020/04/03 20:42:44+00,753686
-79.3973026898826,43.6695405872863,127908287,10000000076,AIDS Bureau,AT site,Planned Parenthood of Toronto,,,,36 Prince Arthur Avenue,Unit B,Practice Location,Toronto,M5R1A9,1970/01/01 00:00:00+00,2020/04/03 20:42:44+00,2020/04/03 20:42:44+00,753687
-81.3286660261842,48.4724919678482,127908288,10000000077,AIDS Bureau,"CBAESP, AT Site",Porcupine Health Unit,,,,169 Pine Street South,P.O. Bag 2012,Practice Location,Timmins,P4N8B7,1970/01/01 00:00:00+00,2020/04/03 20:42:44+00,2020/04/03 20:42:44+00,753688
-79.2327510937131,43.1633578053077,127908289,10000000078,AIDS Bureau,CBAESP,Positive Living Niagara,,,,120 Queenston Street,,Practice Location,St. Catharines,L2R2Z3,1970/01/01 00:00:00+00,2020/04/03 20:42:44+00,2020/04/03 20:42:44+00,753689
-79.3645515781261,43.6546642861925,127908290,10000000079,AIDS Bureau,"CBAESP, HCV Team",Prisoners with HIV/AIDS Support Action Network,,,,526 Richmond Street East,,Practice Location,Toronto,M5A1R3,1970/01/01 00:00:00+00,2020/04/03 20:42:44+00,2020/04/03 20:42:44+00,753690
-79.3783211824399,43.653767785397,127908291,10000000080,AIDS Bureau,CBAESP,Providence St. Joseph's and St. Michael's Healthcare Department of Family and Community Medicine,,,,30 Bond Street,,Practice Location,Toronto,M5B1W8,1970/01/01 00:00:00+00,2020/04/03 20:42:44+00,2020/04/03 20:42:44+00,753691
-79.36558547887,43.6593762869722,127908292,10000000081,AIDS Bureau,CBAESP,Regent Park Community Health Centre,,,,465 Dundas Street East,,Practice Location,Toronto,M5A2B2,1970/01/01 00:00:00+00,2020/04/03 20:42:44+00,2020/04/03 20:42:44+00,753692
-79.7195821969338,43.7183189807891,127908293,10000000082,AIDS Bureau,AT site,Region of Peel Public Health - Brampton Health and Sexuality Clinic,,,,150 Central Park Drive,Unit 09,Practice Location,Brampton,L6T2T9,1970/01/01 00:00:00+00,2020/04/03 20:42:44+00,2020/04/03 20:42:44+00,753693
-79.6384178590913,43.5831519608978,127908294,10000000083,AIDS Bureau,AT site,Region of Peel Public Health - Fairview Clinic,,,,325 Central Parkway West,Unit 21,Practice Location,Mississauga,L5B3X9,1970/01/01 00:00:00+00,2020/04/03 20:42:44+00,2020/04/03 20:42:44+00,753694
-79.6375048708439,43.7189727847529,127908295,10000000084,AIDS Bureau,AT site,Region of Peel Public Health - Malton Clinic,,,,7205 Goreway Drive,"Suite B7, Lower Level",Practice Location,Mississauga,L4T2T9,1970/01/01 00:00:00+00,2020/04/03 20:42:44+00,2020/04/03 20:42:44+00,753695
